video_id,brand_id,post_order,hook_type,pacing_cuts_per_10s,has_onscreen_text,onscreen_text_early,video_len_sec,audio_energy,visual_style_cluster,performance_score
v96,brand_C,16,product_first,1.89,0,0,26.9,0.65,1,50.86
v97,brand_C,17,story,7.54,0,1,19.7,0.37,3,42.75
v98,brand_C,18,pattern_interrupt,1.62,1,0,10.9,0.84,2,61.95
v99,brand_C,19,product_first,7.98,1,1,38.0,0.92,0,69.85
v100,brand_C,20,pattern_interrupt,6.75,1,0,35.8,0.48,4,73.02
v101,brand_C,21,product_first,3.98,0,1,20.6,0.11,1,65.44
v102,brand_C,22,story,4.54,0,1,24.7,0.59,1,80.2
v103,brand_C,23,bold_claim,7.93,0,1,50.1,0.25,4,30.62
v104,brand_C,24,question,6.32,0,0,32.5,0.41,0,52.26
v105,brand_C,25,bold_claim,1.87,1,0,56.8,0.18,2,49.34
v106,brand_C,26,question,6.19,1,1,51.8,0.14,0,59.85
v107,brand_C,27,pattern_interrupt,2.15,0,0,42.6,0.52,3,80.59
v108,brand_C,28,question,7.14,0,1,50.5,0.44,2,54.9
v109,brand_C,29,question,2.63,0,0,28.0,0.54,2,69.27
v110,brand_C,30,pattern_interrupt,4.02,0,0,46.0,0.69,3,76.58
v111,brand_C,31,product_first,6.19,0,1,59.9,0.75,4,63.62
v112,brand_C,32,story,6.45,0,1,18.6,0.71,4,58.03
v113,brand_C,33,story,1.77,1,0,14.6,0.4,4,60.36
v114,brand_C,34,story,4.4,1,1,48.1,0.01,2,59.6
v115,brand_C,35,pattern_interrupt,5.19,1,0,57.9,0.34,1,87.37
v116,brand_C,36,pattern_interrupt,2.07,0,1,34.3,0.61,3,79.03
v117,brand_C,37,product_first,6.53,0,1,41.9,0.77,1,62.75
v118,brand_C,38,question,3.97,0,1,56.6,0.93,0,79.65
v119,brand_C,39,story,3.66,0,0,18.7,0.79,1,59.8
v120,brand_D,0,question,1.8,1,0,52.9,0.92,1,56.71
v121,brand_D,1,pattern_interrupt,1.23,0,0,20.9,0.58,3,48.77
v122,brand_D,2,story,7.4,0,0,38.2,0.63,3,48.88
v123,brand_D,3,question,7.73,0,1,29.6,0.09,4,41.35
v124,brand_D,4,question,3.1,1,0,28.7,0.43,2,53.02
v125,brand_D,5,question,1.26,1,1,37.4,0.07,2,43.04
v126,brand_D,6,bold_claim,4.67,1,0,28.8,0.56,3,60.45
v127,brand_D,7,pattern_interrupt,3.61,1,0,41.5,0.41,3,55.46
v128,brand_D,8,bold_claim,7.07,1,0,36.7,0.25,2,71.46
v129,brand_D,9,question,6.6,0,0,41.9,0.24,1,47.9
v130,brand_D,10,pattern_interrupt,2.7,1,1,52.5,0.83,3,47.5
v131,brand_D,11,bold_claim,1.09,0,0,18.8,0.03,4,37.19
v132,brand_D,12,pattern_interrupt,5.08,1,1,54.4,0.82,3,69.42
v133,brand_D,13,pattern_interrupt,5.13,1,1,40.5,0.41,0,61.95
v134,brand_D,14,bold_claim,7.03,0,1,58.7,0.78,0,51.88
v135,brand_D,15,question,4.39,0,1,46.6,0.7,0,65.63
v136,brand_D,16,question,1.98,0,1,59.2,0.53,4,60.98
v137,brand_D,17,bold_claim,4.71,1,1,33.9,0.07,4,73.33
v138,brand_D,18,question,4.48,1,0,13.5,0.14,2,68.12
v139,brand_D,19,question,4.46,1,0,51.6,0.4,1,61.88
v140,brand_D,20,bold_claim,2.16,0,0,12.3,0.6,1,57.75
v141,brand_D,21,pattern_interrupt,3.08,0,1,32.8,0.66,4,62.47
v142,brand_D,22,question,2.89,0,1,16.4,0.84,0,84.99
v143,brand_D,23,bold_claim,5.36,1,0,25.9,0.35,0,54.32
v144,brand_D,24,question,5.93,1,1,31.9,0.08,1,66.8
v145,brand_D,25,bold_claim,1.72,0,1,50.0,0.96,0,62.92
v146,brand_D,26,bold_claim,5.83,0,0,12.5,0.96,2,60.53
v147,brand_D,27,story,5.85,1,1,21.0,0.49,2,70.17
v148,brand_D,28,bold_claim,1.36,1,0,10.3,0.59,0,56.6
v149,brand_D,29,bold_claim,3.19,0,0,46.0,0.19,1,31.71
v150,brand_D,30,pattern_interrupt,7.61,1,0,52.8,0.84,1,64.07
v151,brand_D,31,pattern_interrupt,4.92,0,1,54.0,0.53,1,57.11
v152,brand_D,32,product_first,5.01,1,0,36.0,0.66,4,90.22
v153,brand_D,33,bold_claim,7.14,1,0,32.0,0.99,2,58.91
v154,brand_D,34,story,4.7,1,1,49.5,1.0,3,63.38
v155,brand_D,35,product_first,7.89,1,1,29.7,0.42,4,81.15
v156,brand_D,36,question,2.67,0,0,26.4,0.29,3,54.98
v157,brand_D,37,question,7.37,0,0,13.7,0.39,3,59.3
v158,brand_D,38,product_first,7.69,0,0,21.5,0.59,2,71.54
v159,brand_D,39,product_first,6.86,1,0,51.2,0.12,2,67.67
v160,brand_E,0,bold_claim,3.69,0,0,57.8,0.83,4,59.35
v161,brand_E,1,question,2.08,1,0,19.7,0.22,0,48.38
v162,brand_E,2,question,7.26,0,1,31.8,0.39,2,60.95
v163,brand_E,3,story,6.15,1,1,21.1,0.01,2,94.42
v164,brand_E,4,story,1.34,1,1,58.0,0.11,3,49.71
v165,brand_E,5,story,7.35,0,1,42.4,0.54,4,75.7
v166,brand_E,6,story,6.14,1,0,53.1,0.25,2,72.93
v167,brand_E,7,pattern_interrupt,2.67,0,1,13.5,0.7,3,68.65
v168,brand_E,8,story,7.17,1,0,9.5,0.83,1,75.94
v169,brand_E,9,bold_claim,6.73,1,0,34.4,0.01,4,54.71
v170,brand_E,10,pattern_interrupt,7.87,0,1,21.5,0.63,4,54.87
v171,brand_E,11,bold_claim,4.03,1,0,28.4,0.18,4,58.14
v172,brand_E,12,story,6.52,1,1,48.1,0.95,0,90.55
v173,brand_E,13,question,1.41,1,0,52.3,0.99,4,57.55
v174,brand_E,14,product_first,6.25,0,1,47.4,0.02,2,44.11
v175,brand_E,15,pattern_interrupt,2.77,0,1,16.3,0.47,3,70.3
v176,brand_E,16,question,1.72,0,0,35.4,0.83,2,61.01
v177,brand_E,17,pattern_interrupt,7.08,1,1,9.6,0.73,4,75.18
v178,brand_E,18,pattern_interrupt,7.75,0,0,31.0,0.31,1,43.06
v179,brand_E,19,story,2.4,0,0,45.2,0.56,3,71.12
v180,brand_E,20,pattern_interrupt,7.78,1,0,53.2,0.78,2,49.34
v181,brand_E,21,pattern_interrupt,6.58,1,0,55.4,0.97,3,54.45
v182,brand_E,22,question,1.01,0,0,39.6,0.25,0,45.68
v183,brand_E,23,story,2.88,1,1,24.1,0.46,4,79.96
v184,brand_E,24,bold_claim,5.76,1,1,58.7,0.72,2,65.54
v185,brand_E,25,question,1.28,1,0,13.5,0.24,0,54.89
v186,brand_E,26,product_first,5.92,1,1,8.5,0.33,1,71.96
v187,brand_E,27,question,6.77,1,1,24.7,0.98,1,68.01
v188,brand_E,28,bold_claim,6.6,1,1,16.7,0.1,2,74.24
v189,brand_E,29,question,5.96,1,1,45.1,0.8,2,70.55
v190,brand_E,30,pattern_interrupt,7.26,1,1,50.5,0.45,2,67.58
v191,brand_E,31,product_first,2.73,0,0,53.3,0.22,3,37.53
v192,brand_E,32,story,2.27,0,0,42.3,0.5,1,79.58
v193,brand_E,33,pattern_interrupt,5.55,1,0,43.4,0.07,0,36.49
v194,brand_E,34,product_first,2.22,0,0,29.6,0.85,4,43.4
v195,brand_E,35,product_first,4.53,1,0,34.7,0.59,1,46.92
v196,brand_E,36,story,3.77,1,1,39.1,0.79,1,85.66
v197,brand_E,37,bold_claim,5.42,0,0,14.8,0.72,1,40.49
v198,brand_E,38,product_first,3.61,1,0,29.5,0.07,0,59.12
v199,brand_E,39,question,5.64,0,1,41.9,0.31,3,56.26
